,RPI,Team,wins,losses,SOS,Rank,Opp Win Percent,opp_wins,opp_losses
211,212,Stephen F. Austin,22.0,28.0,0.4858,187,0.4954,1295.0,1319.0
130,131,Stetson,35.0,23.0,0.4782,204,0.4722,1471.0,1644.0
288,289,Stonehill,13.0,35.0,0.4355,289,0.4377,1032.0,1326.0
154,155,Stony Brook,23.0,29.0,0.5106,118,0.5152,1386.0,1304.0
32,33,TCU,37.0,22.0,0.5653,24,0.5758,1821.0,1341.0
187,188,Tarleton State,24.0,26.0,0.4873,184,0.496,1287.0,1308.0
19,20,Tennessee,38.0,19.0,0.5664,22,0.5797,1763.0,1278.0
247,248,Tennessee Tech,21.0,34.0,0.4726,216,0.4714,1337.0,1499.0
246,247,Tennessee-Martin,22.0,34.0,0.4735,214,0.4763,1379.0,1516.0
27,28,Texas,38.0,20.0,0.5613,27,0.579,1829.0,1330.0
28,29,Texas A&M,36.0,25.0,0.5838,8,0.6008,1945.0,1292.0
189,190,Texas A&M-Corpus Christi,24.0,30.0,0.5001,145,0.5095,1397.0,1345.0
297,298,Texas Southern,19.0,22.0,0.3791,303,0.3777,704.0,1160.0
59,60,Texas State,36.0,23.0,0.5319,68,0.5457,1714.0,1427.0
40,41,Texas Tech,39.0,21.0,0.5442,44,0.5549,1770.0,1420.0
236,237,The Citadel,23.0,31.0,0.4873,183,0.4911,1376.0,1426.0
181,182,Toledo,26.0,29.0,0.4684,231,0.4645,1328.0,1531.0
227,228,Towson,19.0,37.0,0.5115,116,0.5228,1516.0,1384.0
37,38,Troy,39.0,20.0,0.5364,55,0.5497,1741.0,1426.0
156,157,Tulane,19.0,40.0,0.5539,36,0.5777,1780.0,1301.0
186,187,UAB,17.0,36.0,0.5356,58,0.5414,1569.0,1329.0
232,233,UC Davis,17.0,37.0,0.5102,120,0.5142,1390.0,1313.0
48,49,UC Irvine,38.0,17.0,0.5147,103,0.5085,1428.0,1380.0
261,262,UC Riverside,11.0,41.0,0.516,100,0.5216,1375.0,1261.0
82,83,UC San Diego,34.0,18.0,0.5032,136,0.5054,1307.0,1279.0
55,56,UC Santa Barbara,35.0,20.0,0.5195,90,0.5252,1478.0,1336.0
116,117,UCF,33.0,26.0,0.5079,124,0.5088,1619.0,1563.0
63,64,UCLA,28.5,24.5,0.5541,35,0.5657,1547.0,1187.0
134,135,UIC,28.0,25.0,0.4924,171,0.4941,1349.0,1381.0
250,251,ULM,17.0,37.0,0.5007,143,0.5016,1408.0,1399.0
170,171,UMBC,30.0,27.0,0.47,226,0.4762,1319.0,1451.0
273,274,UMass,14.0,35.0,0.4628,241,0.4662,1150.0,1317.0
209,210,UMass-Lowell,20.0,35.0,0.4996,148,0.5167,1387.0,1297.0
213,214,UNC Asheville,26.0,26.0,0.4711,221,0.4666,1273.0,1455.0
139,140,UNCG,25.0,34.0,0.5319,66,0.5466,1690.0,1402.0
38,39,UNCW,34.0,21.0,0.5496,39,0.5733,1626.0,1210.0
208,209,UNLV,21.0,30.0,0.4932,168,0.4918,1264.0,1306.0
52,53,USC,34.5,23.5,0.5441,45,0.5489,1624.0,1334.0
114,115,UTA,29.0,29.0,0.5117,114,0.5239,1588.0,1443.0
133,134,UTRGV,30.0,26.0,0.502,141,0.5147,1490.0,1405.0
74,75,UTSA,38.0,19.0,0.5018,142,0.4973,1497.0,1513.0
144,145,Utah,22.5,32.5,0.5243,81,0.5336,1485.0,1298.0
268,269,Utah Tech,13.0,39.0,0.5027,139,0.5138,1381.0,1307.0
151,152,Utah Valley,32.0,24.0,0.4633,240,0.4527,1270.0,1536.0
220,221,VCU,25.0,30.0,0.4804,198,0.4903,1386.0,1441.0
239,240,VMI,26.0,29.0,0.4623,246,0.4548,1294.0,1551.0
148,149,Valparaiso,20.0,27.0,0.5067,128,0.5107,1267.0,1214.0
6,7,Vanderbilt,41.0,18.0,0.5884,5,0.6028,1906.0,1255.0
257,258,Villanova,14.0,37.0,0.4961,158,0.5029,1293.0,1278.0
9,10,Virginia,45.0,12.0,0.5363,57,0.5331,1579.0,1383.0
47,48,Virginia Tech,30.0,23.0,0.5615,26,0.5708,1608.0,1209.0
233,234,Wagner,32.0,24.0,0.4186,298,0.4047,1090.0,1605.0
0,1,Wake Forest,47.0,10.0,0.5558,33,0.5604,1675.0,1314.0
35,36,Washington,34.0,18.0,0.5384,53,0.5521,1431.0,1160.0
92,93,Washington State,28.0,23.0,0.5207,89,0.5199,1355.0,1251.0
23,24,West Virginia,39.0,18.0,0.5406,47,0.5414,1655.0,1402.0
200,201,Western Carolina,21.0,33.0,0.5074,127,0.5141,1498.0,1416.0
287,288,Western Illinois,12.0,40.0,0.4538,259,0.4652,1178.0,1354.0
138,139,Western Kentucky,33.0,26.0,0.4943,165,0.4894,1525.0,1591.0
163,164,Western Michigan,21.0,31.0,0.5032,135,0.5149,1344.0,1266.0
106,107,Wichita State,30.0,25.0,0.5135,108,0.5198,1534.0,1417.0
88,89,William & Mary,32.0,25.0,0.5225,85,0.5376,1594.0,1371.0
153,154,Winthrop,28.0,28.0,0.4978,153,0.5,1472.0,1472.0
56,57,Wofford,40.0,19.0,0.5124,111,0.5182,1638.0,1523.0
76,77,Wright State,39.0,21.0,0.488,180,0.4937,1498.0,1536.0
43,44,Xavier,37.0,23.0,0.5266,76,0.5364,1686.0,1457.0
237,238,Yale,17.0,23.0,0.4442,277,0.463,831.0,964.0
252,253,Youngstown State,19.0,36.0,0.4709,223,0.468,1331.0,1513.0
