,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
132,127,FGCU  ASUN (20-10),30-26,155,9-14,138,31,18-9,11-14,1-3,0-6,5-5,4-6,21-9,
133,128,Western Michigan  Mid-American (19-11),31-21,225,9-10,134,182,11-5,15-7,5-9,0-1,3-4,6-6,22-10,+22
134,129,California Baptist  Western Athletic (18-12),38-24,208,16-10,104,152,21-11,13-10,4-3,1-2,3-5,9-8,25-9,+9
135,130,Dayton  Atlantic 10 (14-9),33-22,231,18-11,130,277,17-7,15-13,1-2,1-3,2-4,8-6,22-9,-6
136,131,BYU  Big 12 (7-23),21-31,62,14-8,65,163,9-14,11-15,1-2,5-13,3-4,5-9,8-5,-6
137,132,Southeast Missouri  Ohio Valley (18-9),34-25,192,13-15,154,121,16-12,15-12,3-1,0-3,2-1,6-8,26-13,+11
138,133,UC Davis  Big West (13-17),29-27,158,16-10,114,251,15-11,14-16,0-0,1-5,2-5,8-10,18-7,-18
139,134,Rider  MAAC (18-6),28-23,233,9-15,93,43,12-2,15-18,1-3,1-10,0-4,3-2,24-7,-12
140,135,Illinois State  Missouri Valley (16-11),30-27,185,12-14,209,283,12-7,15-16,3-4,2-6,3-9,5-5,20-7,-2
141,136,Missouri State  Missouri Valley (11-16),23-34,89,12-16,92,48,8-11,15-21,0-2,2-11,1-5,8-9,12-9,-15
142,137,UC San Diego  Big West (17-13),30-23,173,13-10,245,289,22-10,8-13,0-0,0-6,4-5,3-8,23-4,
143,138,New Mexico State  Conference USA (10-14),25-29,102,15-13,122,180,15-11,10-16,0-2,2-9,3-8,8-5,12-7,-6
144,139,Baylor  Big 12 (10-20),22-31,44,12-11,144,76,17-16,5-12,0-3,1-11,1-10,11-7,9-3,-4
145,140,Wright State  Horizon League (20-10),32-24,240,11-12,85,104,14-6,17-15,1-3,2-6,1-2,7-5,22-11,-14
146,RPI,Team,Record,SOS,NC Rec,NC RPI,NC SOS,H,R,N,Q1,Q2,Q3,Q4,RPI Delta
147,141,Saint Joseph's  Atlantic 10 (13-11),29-26,181,13-13,150,195,17-7,9-17,3-2,0-3,0-2,12-14,17-7,+11
148,142,Charlotte  American Athletic (12-15),24-34,54,11-17,135,11,18-14,5-16,1-4,1-5,7-13,5-11,11-5,-3
149,143,Sacred Heart  Northeast (25-8),35-23,267,8-13,156,147,18-4,15-17,2-2,0-1,1-5,3-5,31-12,+5
150,144,Little Rock  Ohio Valley (19-8),32-24,223,13-14,162,172,17-9,15-13,0-2,0-3,0-3,5-3,27-15,-8
151,145,Southeastern Louisiana  Southland (10-14),28-28,133,16-12,115,146,16-13,9-12,3-3,1-4,2-10,12-7,13-7,+8
152,146,Northwestern  Big Ten (4-20),18-34,59,14-14,71,87,8-11,10-23,0-0,1-8,6-19,5-4,6-3,-1
153,147,South Florida  American Athletic (11-16),26-29,101,15-13,107,92,18-15,8-14,0-0,2-7,2-6,7-6,15-10,-3
154,148,VMI  Southern (7-14),25-29,139,18-14,137,243,14-8,10-19,1-2,0-7,6-8,5-7,14-7,-7
155,149,Northern Kentucky  Horizon League (19-11),33-22,269,11-11,128,211,16-5,14-17,3-0,0-6,2-2,4-3,27-11,+12
156,150,Hofstra  Coastal Athletic (13-14),24-33,114,10-17,158,129,13-8,10-23,1-2,2-9,3-4,7-12,12-8,+6
157,151,Tarleton State  Western Athletic (17-13),32-29,199,10-15,202,191,14-10,13-18,5-1,0-2,1-6,12-9,19-12,+35
158,152,Rhode Island  Atlantic 10 (11-13),19-28,104,8-15,141,62,10-8,9-20,0-0,0-4,2-8,7-8,10-8,-10
159,153,Abilene Christian  Western Athletic (18-12),33-25,211,14-11,126,160,19-11,13-11,1-3,0-4,3-2,6-8,24-11,-4
160,154,Austin Peay  ASUN (20-10),35-21,270,15-9,165,293,20-7,15-12,0-2,3-3,3-4,9-8,20-6,-8
161,155,Stanford  Pac-12 (11-19),22-33,69,9-13,241,190,13-16,7-16,2-1,2-8,1-5,13-16,6-4,+14
